Comment Number (ID),Nickname,User @,User URL,Comment Text,Time,Likes,Profile Picture URL,Is 2nd Level Comment,User Replied To,Number of Replies
237,pinkprincess775,pinkprincess775,https://www.tiktok.com/@pinkprincess775,Not true. Get your facts straight,11-10-2022,1,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/3ae25fc8c8860872a1734d7b1045ff38~c5_100x100.jpg?x-expires=1675346400&x-signature=CpoynzHfmp3Eo6Dn7w3BrX1C1ko%3D,Yes,M,0
238,M,mm222122,https://www.tiktok.com/@mm222122,100% factual—but you don’t believe in facts. Anywaaays.,12-10-2022,0,https://p77-sign-va.tiktokcdn.com/musically-maliva-obj/1680764920503301~c5_100x100.jpg?x-expires=1675346400&x-signature=j0JJFHUjkQCyEmW%2B%2FyUp6LRiZ8Q%3D,Yes,M,0
239,pinkprincess775,pinkprincess775,https://www.tiktok.com/@pinkprincess775,What would you know. Your a Delusional Democrat,12-10-2022,1,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/3ae25fc8c8860872a1734d7b1045ff38~c5_100x100.jpg?x-expires=1675346400&x-signature=CpoynzHfmp3Eo6Dn7w3BrX1C1ko%3D,Yes,M,0
240,CatherineBH4Trump,catherinebhaessig,https://www.tiktok.com/@catherinebhaessig,We ❤️Trump because he loves the People & works to make our lives better ❤️. Trump is my President 🇺🇸,22-7-2022,2,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/af4cd15cf222416b02d9cffcd412bd6d~c5_100x100.jpg?x-expires=1675346400&x-signature=WhsNfCL1fisL6pxXc4dC9dwuieA%3D,No,---,0
241,kpiergies,kpiergies,https://www.tiktok.com/@kpiergies,trump was a want to be dictator like Putin.,22-7-2022,1,https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1594805258216454~c5_100x100.jpg?x-expires=1675346400&x-signature=HDTv3qXJwcMMIp%2F4z7LaCZADyUY%3D,No,---,1
242,pinkprincess775,pinkprincess775,https://www.tiktok.com/@pinkprincess775,"False. He just wants the best for America, build the wall . We don’t need Rapist and criminals coming to this country. Biden and the Democrats EVIL",11-10-2022,1,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/3ae25fc8c8860872a1734d7b1045ff38~c5_100x100.jpg?x-expires=1675346400&x-signature=CpoynzHfmp3Eo6Dn7w3BrX1C1ko%3D,Yes,kpiergies,0
243,milogastelo,milogastelo,https://www.tiktok.com/@milogastelo,if he doesn't win. do the real Americans a favor and move out of the US 🇺🇸 please,18-7-2022,1,https://p77-sign-va.tiktokcdn.com/tos-maliva-avt-0068/5d3a491a60a45e56457770f55fa6c09f~c5_100x100.jpg?x-expires=1675346400&x-signature=wfXx1i6DgBrfSM3bhtkpWBKApFQ%3D,No,---,0
244,Vicki Phillips,vickiphillips0,https://www.tiktok.com/@vickiphillips0,If your a billionaire he loves you🤷🏻‍♀️,17-7-2022,1,https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1664627347212293~c5_100x100.jpg?x-expires=1675346400&x-signature=Su2QI1w%2BrND8Oc%2FYPPxlmEXiyCE%3D,No,---,0
245,Vicki Phillips,vickiphillips0,https://www.tiktok.com/@vickiphillips0,Open your mind … just a little plz!!!,17-7-2022,0,https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1664627347212293~c5_100x100.jpg?x-expires=1675346400&x-signature=Su2QI1w%2BrND8Oc%2FYPPxlmEXiyCE%3D,No,---,0
246,nya123HI,nya123hi,https://www.tiktok.com/@nya123hi,"""Make America great again"" frik that shit let's start a riot",6-7-2022,0,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/803395839273d901cf09945a20f37a15~c5_100x100.jpg?x-expires=1675346400&x-signature=LSPWxg1Ow4yiJpECZJmkAUVSIEM%3D,No,---,0
247,JFK22,tyresfjop,https://www.tiktok.com/@tyresfjop,Can you read?,6-7-2022,1,https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1594805258216454~c5_100x100.jpg?x-expires=1675346400&x-signature=HDTv3qXJwcMMIp%2F4z7LaCZADyUY%3D,No,---,0
248,Hitman911,tommyhiiman922,https://www.tiktok.com/@tommyhiiman922,Trump will never be near the white house again 🥰,2-7-2022,1,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/ca8e8c54caf16986b55747cfe510dd65~c5_100x100.jpg?x-expires=1675346400&x-signature=oiLueHYT9iI1xeKKjoNHeMCnrTw%3D,No,---,1
